"Pavlivka",56,1110
"Semyhiria",56,1110
"Horodyshche",62,1112
"Oleksandriia",56,1110
"Verbliuzhka",53,1110
"Yasnobrodivka",20,1104
"Krasnostav",120,1124
"Kompaniivka",53,1110
"Dolynska",53,1110
"Slavuta",108,1121
"Slavuta",108,1121
"Yahubets",111,1122
"Mokrovolia",108,1121
"Iziaslav",108,1121
"Hrytsiv",108,1121
"Polonne",108,1121
"Zhyvachiv",39,1108
"Novoselytsia",108,1121
"Cherneche",80,1115
"Zalissia",109,1121
"Zinkivtsi",109,1121
"Orynyn",109,1121
"Rykhta",109,1121
"Dunaivtsi",109,1121
"Stepok",109,1121
"Filianivka",109,1121
"Rivne",85,1116
"Borove",84,1116
"Stepanhorod",83,1116
"Vereteno",83,1116
"Kaliuzhyne",99,1119
"Orlivka",84,1116
"Stepan",84,1116
"Horodyshche",85,1116
"Kostopil",85,1116
"Malyi Mydsk",85,1116
"Piskiv",85,1116
"Klevan",85,1116
"Zoria",85,1116
"Symoniv",85,1116
"Zhurbyntsi",2,1101
"Bashyne",85,1116
"Zdovbytsia",85,1116
"Kyrsanove",95,1119
"Derman Druha",85,1116
"Ostroh",85,1116
"Poltava",82,1115
"Poltava",82,1115
"Veryn",66,1112
"Poltava",82,1115
"Poltava",82,1115
"Meteniv",92,1118
"Kremenchuk",79,1115
"Voronky",80,1115
"Babenkove",100,1119
"Lazirky",80,1115
"Kuchmanivka",107,1121
"Yakymivtsi",107,1121
"Zarih",80,1115
"Petrivka",82,1115
"Verkhnia Zhuzhmanivka",79,1115
"Tamaryne",70,1113
"Slavnivka",82,1115
"Bilyky",82,1115
"Vovchkivtsi",41,1108
"Myrne",53,1110
"Rudenkivka",82,1115
"Karlivka",82,1115
"Varvarivka",82,1115
"Kindrivka",79,1115
"Shcherbaky",79,1115
"Mali Dorohostai",86,1116
"Kamiani Potoky",79,1115
"Sad",87,1117
"Sumy",87,1117
"Nykyforivka",53,1110
"Mykolaivka",87,1117
"Oslamiv",107,1121
"Kmytiv",24,1105
"Zelenyi Bir",50,1109
"Romny",90,1117
"Terny",90,1117
"Petrivka",70,1113
"Vozyliv",94,1118
"Lonivka",26,1105
"Khotin",87,1117
"Samotoivka",87,1117
"Hrun",91,1117
"Lutsk",7,1102
"Ratne",8,1102
"Hirnyky",8,1102
"Brody",8,1102
"Huta",8,1102
"Velymche",8,1102
"Rokyta",8,1102
"Liubokhyny",8,1102
"Lisopil",85,1116
"Kovel",8,1102
"Kovel",8,1102
"Povorsk",8,1102
"Holoby",8,1102
"Khreniv",10,1102
"Novovolynsk",10,1102
"Zaborol",7,1102
"Velykyi Omelianyk",7,1102
"Nyvy-Hubynski",7,1102
"Sapaniv",93,1118
"Lopushne",93,1118
"Tsetsenivka",93,1118
"Husiatyn",94,1118
"Monastyryska",94,1118
"Zvyniach",94,1118
"Holovchyntsi",94,1118
"Bozhok",89,1117
"Losiach",94,1118
"Slozykha",81,1115
"Melnytsia-Podilska",94,1118
"Dnipro",11,1103
"Dnipro",11,1103
"Dnipro",11,1103
"Dnipro",11,1103
"Dnipro",11,1103
"Dnipro",11,1103
"Dnipro",11,1103
"Kryvyi Rih",12,1103
"Kryvyi Rih",12,1103
"Kryvyi Rih",12,1103
"Kamianske",13,1103
"Druzhba",91,1117
"Lavochne",66,1112
"Kamianske",13,1103
"Novoselytsia",24,1105
"Pidhorodne",11,1103
"Verbivka",40,1108
"Zabara",7,1102
"Stepove",13,1103
"Bozhedarivka",13,1103
"Novopokrovka",11,1103
"Vasylivka",11,1103
"Behma",15,1103
"Shevchenka",15,1103
"Mykolaivka",15,1103
"Hranitne",12,1103
"Mykolaiv",71,1113
"Mykolaiv",71,1113
"Novoselytsia",1,1101
"Mykolaiv",71,1113
"Mykolaiv",71,1113
"Mykolaiv",71,1113
"Mykolaiv",71,1113
"Vradiivka",69,1113
"Nova Odesa",71,1113
"Shevchenkove",71,1113
"Lymany",71,1113
"Stavky",85,1116
"Vilshka",24,1105
"Pidhorodne",19,1104
"Bavoriv",92,1118
"Semenivka",98,1119
"Volodymyrivka",34,1107
"Svitanok",120,1124
"Nakonechne Druhe",64,1112
"Cherneshchyna",100,1119
"Huta-Katiuzhanska",48,1109
"Velyka Dymerka",46,1109
"Skybyn",46,1109
"Selyshche",46,1109
"Korzhi",46,1109
"Horkove",90,1117
"Vilne",46,1109
"Honcharykha",112,1122
"Fedorivka",20,1104
"Kuriachivka",57,1111
"Boiarka",50,1109
"Fastiv",50,1109
"Motovylivka",50,1109
"Trylisy",50,1109
"Putrivka",50,1109
"Ustymivka",52,1109
"Hrebinky",52,1109
"Potik",51,1109
"Tsapiivka",52,1109
"Dulytske",52,1109
"Shamraivka",52,1109
"Samhorodok",52,1109
"Shkarivka",52,1109
"Sloboda-Hulivska",5,1101
"Terezyne",52,1109
"Romanivka",27,1105
"Fursy",52,1109
"Syniak",87,1117
"Hostra Mohyla",52,1109
"Tarashcha",52,1109
"Velyka Berezianka",52,1109
"Odaipil",52,1109
"Zhytomyr",24,1105
"Hlybochytsia",24,1105
"Oleksandrivka",105,1120
"Levkiv",24,1105
"Stanyshivka",24,1105
"Sinhury",24,1105
"Dovbysh",26,1105
"Bykivka",24,1105
"Chudniv",24,1105
"Shcherbyny",24,1105
"Karpivtsi",24,1105
"Hrada",93,1118
"Shostaky",82,1115
"Velyki Korovyntsi",24,1105
"Vakulenchuk",24,1105
"Berdychiv",27,1105
"Novoivnytske",24,1105
"Khodorkiv",24,1105
"Andrushky",24,1105
"Pavoloch",24,1105
"Stolne",118,1124
"Nizhyn",120,1124
"Nosivka",120,1124
"Talalaivka",121,1124
"Naditychi",66,1112
"Zavadivka",3,1101
"Dubovyi Hai",121,1124
"Karolina",1,1101
"Cherkasy",110,1122
"Cherkasy",110,1122
"Cherkasy",110,1122
"Buzivka",111,1122
"Valiava",110,1122
"Heronymivka",110,1122
"Velyka Burimka",113,1122
